type;id;lat;lon;name;operator;station
node;60660466;55.8871805;37.6614355;Медведково;Москва;subway
node;60660469;55.8696254;37.6641842;Бабушкинская;Москва;subway
node;68916801;55.7886007;37.7509817;Партизанская;Москва;subway
node;68937012;55.7834195;37.7212469;Семёновская;Москва;subway
node;88802787;59.9656354;30.3123488;Петроградская;Петербург;subway
node;88803981;59.9556680;30.3190490;Горьковская;Петербург;subway
node;88833360;59.9509513;30.2901914;Спортивная;Петербург;subway
node;88833366;59.9602174;30.2920335;Чкаловская;Петербург;subway
node;90551453;60.0170946;30.3165786;Удельная;Петербург;subway
node;91264383;59.9711364;30.2608294;Крестовский остров;Петербург;subway
node;91264384;59.9886839;30.2554010;Старая Деревня;Петербург;subway
node;92580819;59.9276034;30.3193825;Садовая;Петербург;subway
node;94516905;60.0094283;30.2575166;Комендантский проспект;Петербург;subway
node;94857612;59.9258110;30.3199935;Сенная площадь;Петербург;subway
node;94858991;59.9277613;30.3458352;Достоевская;Петербург;subway
node;94877075;59.9207320;30.3556508;Лиговский проспект;Петербург;subway
node;94890886;59.9232675;30.3859972;Площадь Александра Невского 1;Петербург;subway
node;94891390;59.9295980;30.4151991;Новочеркасская;Петербург;subway
node;94896142;59.9315338;30.4424016;Ладожская;Петербург;subway
node;96449579;59.9857825;30.3013574;Чёрная речка;Петербург;subway
node;96453108;60.0030921;30.2966163;Пионерская;Петербург;subway
node;96459081;60.0363355;30.3213240;Озерки;Петербург;subway
node;97036546;59.9299533;30.3589882;Площадь Восстания;Петербург;subway
node;158694484;60.0503169;30.4426694;Девяткино;Петербург;subway
node;209186405;53.9069094;27.4359041;Каменная Горка;Минск;subway
node;209186407;53.9062312;27.4539802;Кунцаўшчына;Минск;subway
node;209186410;53.9084273;27.4795368;Спартыўная;Минск;subway
node;209186411;53.9096710;27.4977357;Пушкінская;Минск;subway
node;209186415;53.9058375;27.5540258;Няміга;Минск;subway
node;209186416;53.9021020;27.5621576;Кастрычнiцкая;Минск;subway
node;209186417;53.8938442;27.5709184;Першамайская;Минск;subway
node;209186421;53.8899664;27.5862831;Пралетарская;Минск;subway
node;209186423;53.8899194;27.6145005;Трактарны завод;Минск;subway
node;209186424;53.8692203;27.6479536;Аўтазаводская;Минск;subway
node;209186425;53.8619910;27.6742453;Магілёўская;Минск;subway
node;209191847;53.8858932;27.5407052;Інстытут Культуры;Минск;subway
node;209191849;53.8924128;27.5479319;Плошча Леніна;Минск;subway
node;209191850;53.9094761;27.5762295;Плошча Перамогі;Минск;subway
node;209191851;53.9158438;27.5840411;Плошча Якуба Коласа;Минск;subway
node;209191852;53.9217620;27.5993400;Акадэмія навук;Минск;subway
node;209191853;53.9242313;27.6137063;Парк Чалюскінцаў;Минск;subway
node;209191854;53.9280400;27.6281328;Маскоўская;Минск;subway
node;209191855;53.9344069;27.6513776;Усход;Минск;subway
node;211439601;59.9091008;30.4818197;Улица Дыбенко;Петербург;subway
node;211439603;59.9215756;30.4653320;Проспект Большевиков;Петербург;subway
node;241158259;55.7394565;37.4834225;Филёвский парк;Москва;subway
node;241158281;55.7436954;37.4978443;Багратионовская;Москва;subway
node;241158327;55.7461002;37.5148876;Фили;Москва;subway
node;241158369;55.7400295;37.5343830;Кутузовская;Москва;subway
node;241158415;55.7388362;37.5483675;Студенческая;Москва;subway
node;242546355;55.7818157;37.7036976;Электрозаводская;Москва;subway
node;242546356;55.7731188;37.6804000;Бауманская;Москва;subway
node;242546475;55.7567678;37.6218635;Площадь Революции;Москва;subway
node;242546476;55.7521987;37.6070395;Арбатская;Москва;subway
node;244036228;55.7408429;37.4169177;Молодёжная;Москва;subway
node;244036856;55.7359311;37.4671952;Пионерская;Москва;subway
node;246659390;53.9387404;27.6666603;Барысаўскі тракт;Минск;subway
node;246659391;53.9453821;27.6878990;Уручча;Минск;subway
node;248088101;59.8308399;30.5002908;Рыбацкое;Петербург;subway
node;248088210;59.8487982;30.4577476;Обухово;Петербург;subway
node;248520179;53.8762966;27.6288809;Партызанская;Минск;subway
node;249299628;59.8979469;30.4220487;Елизаровская;Петербург;subway
node;249302441;59.8780812;30.4407560;Ломоносовская;Петербург;subway
node;249304980;59.8661248;30.4687908;Пролетарская;Петербург;subway
node;249307183;59.9341319;30.3311572;Гостиный двор;Петербург;subway
node;249307184;59.9488490;30.2381173;Приморская;Петербург;subway
node;249898478;59.8921879;30.3178871;Московские ворота;Петербург;subway
node;249902972;59.9052794;30.3176664;Фрунзенская;Петербург;subway
node;249904416;59.8799392;30.3185741;Электросила;Петербург;subway
node;252828224;55.7474918;37.5817388;Смоленская;Москва;subway
node;252934400;55.7607176;37.6260335;Кузнецкий Мост;Москва;subway
node;253016890;55.7404927;37.6516778;Таганская;Москва;subway
node;253016891;55.7317991;37.6658821;Пролетарская;Москва;subway
node;253016892;55.7252238;37.6867691;Волгоградский проспект;Москва;subway
node;253016893;55.7087389;37.7318594;Текстильщики;Москва;subway
node;253016894;55.7055467;37.7657675;Кузьминки;Москва;subway
node;253016895;55.7156286;37.8179145;Выхино;Москва;subway
node;253017004;55.7171022;37.7935119;Рязанский проспект;Москва;subway
node;253043175;55.7519281;37.6007612;Арбатская;Москва;subway
node;253045735;55.7501544;37.5414661;Выставочная;Москва;subway
node;253228506;55.7524289;37.6087611;Александровский сад;Москва;subway
node;253375111;55.7437596;37.5656092;Киевская;Москва;subway
node;253776238;55.7565916;37.4082420;Крылатское;Москва;subway
node;253780238;55.7296513;37.4707311;Славянский бульвар;Москва;subway
node;255744331;55.7517135;37.8167171;Новогиреево;Москва;subway
node;255744332;55.7511407;37.7865341;Перово;Москва;subway
node;255744578;55.7574684;37.7493161;Шоссе Энтузиастов;Москва;subway
node;255856078;55.7483636;37.5343361;Международная;Москва;subway
node;258760945;59.8665723;30.2609658;Автово;Петербург;subway
node;259785706;55.6187959;37.5081601;Тёплый Стан;Москва;subway
node;259786804;55.6572552;37.5405847;Калужская;Москва;subway
node;259786806;55.6701631;37.5544462;Новые Черёмушки;Москва;subway
node;264162888;55.6062069;37.5337173;Ясенево;Москва;subway
node;265949954;55.8145922;37.7344420;Бульвар Рокоссовского;Москва;subway
node;265949956;55.8038707;37.7449436;Черкизовская;Москва;subway
node;265949958;55.7964038;37.7155476;Преображенская площадь;Москва;subway
node;266680843;53.9066395;27.5229131;Маладзёжная;Минск;subway
node;266835841;55.8550000;37.4761085;Речной вокзал;Москва;subway
node;266835844;55.8400444;37.4865846;Водный стадион;Москва;subway
node;266835845;55.8190236;37.4979002;Войковская;Москва;subway
node;266835847;55.8003680;37.5330889;Аэропорт;Москва;subway
node;266835848;55.7896396;37.5581058;Динамо;Москва;subway
node;267309437;49.9919855;36.2321095;Історичний музей;Харьков;subway
node;267309438;50.0044398;36.2346171;Університет;Харьков;subway
node;267309824;49.9897819;36.2061776;Південний вокзал;Харьков;subway
node;267309843;49.9919023;36.2317971;Майдан Конституції;Харьков;subway
node;267309844;49.9809097;36.2431155;Проспект Гагаріна;Харьков;subway
node;267310306;49.9792587;36.2612829;Спортивна;Харьков;subway
node;267310307;49.9760109;36.2808823;Завод імені Малишева;Харьков;subway
node;267310308;49.9722657;36.3017943;Московський проспект;Харьков;subway
node;267310326;49.9663164;36.3210877;Палац Спорту;Харьков;subway
node;267310368;49.9618582;36.3430092;Армійська;Харьков;subway
node;267310369;49.9585202;36.3602592;ім. О.С. Масельського;Харьков;subway
node;267310391;49.9927669;36.2195931;Центральний ринок;Харьков;subway
node;267334996;55.7888128;37.6801910;Сокольники;Москва;subway
node;267335088;55.7752438;37.6560810;Комсомольская;Москва;subway
node;267335089;55.7803480;37.6676678;Красносельская;Москва;subway
node;267335315;55.7578301;37.6163299;Охотный Ряд;Москва;subway
node;267335316;55.7599346;37.6277544;Лубянка;Москва;subway
node;267335317;55.7658946;37.6388932;Чистые пруды;Москва;subway
node;267335318;55.7691073;37.6488621;Красные Ворота;Москва;subway
node;267465955;50.0039554;36.2480681;Пушкінська;Харьков;subway
node;267465956;50.0013684;36.2694714;Київська;Харьков;subway
node;267465957;50.0024823;36.3027278;Академіка Барабашова;Харьков;subway
node;267465958;50.0095102;36.3186300;Академіка Павлова;Харьков;subway
node;267465960;50.0248647;36.3358765;Героїв праці;Харьков;subway
node;267466050;50.0048358;36.2322543;Держпром;Харьков;subway
node;267466051;50.0129669;36.2269874;Наукова;Харьков;subway
node;267466052;50.0261897;36.2230631;Ботанічний сад;Харьков;subway
node;267466053;50.0356993;36.2199803;23 серпня;Харьков;subway
node;267466054;50.0499869;36.2066329;Олексіївська;Харьков;subway
node;267466152;49.9781913;36.2624470;Метробудівників;Харьков;subway
node;267466153;49.9887953;36.2648951;Захисників України;Харьков;subway
node;267466154;49.9997855;36.2401474;Архітектора Бекетова;Харьков;subway
node;268473514;49.9827742;36.1825438;Холодна гора;Харьков;subway
node;268521588;55.8551629;37.6526719;Свиблово;Москва;subway
node;268521591;55.8451534;37.6383238;Ботанический сад;Москва;subway
node;276191013;55.7524571;37.7201118;Авиамоторная;Москва;subway
node;276191299;55.7471282;37.6833874;Площадь Ильича;Москва;subway
node;276191577;55.7412546;37.6534447;Марксистская;Москва;subway
node;277039518;53.9009334;27.5618112;Купалаўская;Минск;subway
node;277499099;55.7937093;37.6363021;Рижская;Москва;subway
node;277499848;55.7809058;37.6320170;Проспект Мира;Москва;subway
node;277499849;55.7731956;37.6310664;Сухаревская;Москва;subway
node;277499850;55.7664471;37.6372759;Тургеневская;Москва;subway
node;277499852;55.7411829;37.6271378;Третьяковская;Москва;subway
node;277499853;55.7305821;37.6111677;Октябрьская;Москва;subway
node;277499854;55.7199465;37.6077788;Шаболовская;Москва;subway
node;278394361;53.9053493;27.5393195;Фрунзенская;Минск;subway
node;278692957;55.7454887;37.6036890;Кропоткинская;Москва;subway
node;278692958;55.7512497;37.6100781;Библиотека имени Ленина;Москва;subway
node;278693055;55.7234830;37.5641093;Спортивная;Москва;subway
node;278693056;55.7270106;37.5784934;Фрунзенская;Москва;subway
node;282411334;55.7076566;37.5861190;Ленинский проспект;Москва;subway
node;282413851;55.6877068;37.5731868;Академическая;Москва;subway
node;282414382;55.6778336;37.5626938;Профсоюзная;Москва;subway
node;282416839;55.6427132;37.5254991;Беляево;Москва;subway
node;288582354;41.6916207;44.8699722;11111111;Тбилиси;subway
node;288584312;41.6878349;44.8271767;300 1111111;Тбилиси;subway
node;288584317;41.6865408;44.8408701;1111;Тбилиси;subway
node;289358478;41.7041754;44.7896303;11111111;Тбилиси;subway
node;289358479;41.6948514;44.7999396;111111111111 111111;Тбилиси;subway
node;289381406;41.6925589;44.8151953;1111111;Тбилиси;subway
node;289381738;41.7220090;44.7978361;11111111 1111111-1;Тбилиси;subway
node;289383777;41.7324248;44.7969479;111111111;Тбилиси;subway
node;289384125;41.7099193;44.7977070;11111111111;Тбилиси;subway
node;291557399;59.9340490;30.3277461;Невский проспект;Петербург;subway
node;291686079;55.7359131;37.5913851;Парк Культуры;Москва;subway
node;291686160;55.7298063;37.6096840;Октябрьская;Москва;subway
node;291687197;55.7488630;37.5826924;Смоленская;Москва;subway
node;291687455;55.7702196;37.5951107;Маяковская;Москва;subway
node;291689166;55.7709056;37.6177532;Цветной бульвар;Москва;subway
node;291712231;55.6009308;37.5540749;Новоясеневская;Москва;subway
node;292019726;55.7305818;37.6374601;Павелецкая;Москва;subway
node;292019996;55.7322275;37.6378319;Павелецкая;Москва;subway
node;292143794;55.7575043;37.6190281;Театральная;Москва;subway
node;292143796;55.7414147;37.6293730;Новокузнецкая;Москва;subway
node;292144111;55.7647965;37.6061167;Тверская;Москва;subway
node;292146578;55.7073793;37.6576204;Автозаводская;Москва;subway
node;292147581;55.6784809;37.6638965;Коломенская;Москва;subway
node;292148161;55.6936270;37.6644041;Технопарк;Москва;subway
node;293799708;55.7795032;37.6317074;Проспект Мира;Москва;subway
node;294024698;55.7291480;37.6237142;Добрынинская;Москва;subway
node;296045315;55.7416450;37.6510792;Таганская;Москва;subway
node;296926132;55.6534063;37.6194323;Варшавская;Москва;subway
node;296932663;55.5481606;37.5545984;Улица Скобелевская;Москва;subway
node;296932668;55.5454833;37.5431878;Бульвар Адмирала Ушакова;Москва;subway
node;296932670;55.5417384;37.5306687;Улица Горчакова;Москва;subway
node;296932673;55.5381944;37.5165046;Бунинская аллея;Москва;subway
node;296944258;55.7690734;37.6194225;Трубная;Москва;subway
node;296947177;55.7464130;37.6831258;Римская;Москва;subway
node;296947185;55.7191776;37.6754014;Дубровка;Москва;subway
node;296949274;55.7074029;37.6846695;Кожуховская;Москва;subway
node;296949278;55.6934606;37.7268956;Печатники;Москва;subway
node;296949283;55.6907877;37.7532713;Волжская;Москва;subway
node;296949285;55.6756376;37.7618058;Люблино;Москва;subway
node;296949290;55.6500225;37.7431944;Марьино;Москва;subway
node;296953126;55.7648945;37.6089632;Чеховская;Москва;subway
node;296953128;55.7509526;37.6069566;Боровицкая;Москва;subway
node;296953130;55.7281379;37.6245843;Серпуховская;Москва;subway
node;296953131;55.7087385;37.6227879;Тульская;Москва;subway
node;296953132;55.6828925;37.6223775;Нагатинская;Москва;subway
node;296953133;55.6721392;37.6101617;Нагорная;Москва;subway
node;296953134;55.6626899;37.6055528;Нахимовский проспект;Москва;subway
node;296953135;55.6527686;37.5982422;Севастопольская;Москва;subway
node;296953136;55.6404122;37.6066184;Чертановская;Москва;subway
node;296953137;55.6222782;37.6091324;Южная;Москва;subway
node;296953138;55.6123880;37.6044242;Пражская;Москва;subway
node;296953139;55.5950846;37.6003221;Улица Академика Янгеля;Москва;subway
node;296953140;55.5825441;37.5963663;Аннино;Москва;subway
node;296956167;55.8172505;37.5762244;Тимирязевская;Москва;subway
node;296956168;55.8067137;37.5817655;Дмитровская;Москва;subway
node;296956169;55.7924478;37.5886512;Савёловская;Москва;subway
node;296956170;55.7809621;37.6011125;Менделеевская;Москва;subway
node;296957238;55.8978483;37.5872493;Алтуфьево;Москва;subway
node;296957239;55.8838459;37.6034990;Бибирево;Москва;subway
node;296957241;55.8632074;37.6045567;Отрадное;Москва;subway
node;296959502;55.8607310;37.4363874;Планерная;Москва;subway
node;296959504;55.8264972;37.4368517;Тушинская;Москва;subway
node;296959505;55.8085823;37.4643097;Щукинская;Москва;subway
node;296959507;55.7775140;37.5193423;Полежаевская;Москва;subway
node;296959508;55.7735045;37.5464401;Беговая;Москва;subway
node;296959509;55.7646678;37.5614147;Улица 1905 года;Москва;subway
node;296959510;55.7609121;37.5799394;Баррикадная;Москва;subway
node;296993659;55.0353916;82.8991178;Площадь Гарина-Михайловского;Новосибирск;subway
node;296995573;55.0420288;82.9172194;Красный проспект;Новосибирск;subway
node;296998275;55.0302537;82.9205504;Площадь Ленина;Новосибирск;subway
node;296998283;55.0188791;82.9392889;Октябрьская;Новосибирск;subway
node;296998287;55.0086786;82.9379600;Речной вокзал;Новосибирск;subway
node;297003656;56.8575654;60.6003203;Уральская;Екатеринбург;subway
node;297003658;56.8476503;60.5993974;Динамо;Екатеринбург;subway
node;297003665;56.8267858;60.6026826;Геологическая;Екатеринбург;subway
node;297003727;56.8774068;60.6121753;Машиностроителей;Екатеринбург;subway
node;297003728;56.8363538;60.5990344;Площадь 1905 года;Екатеринбург;subway
node;297004188;56.9013898;60.6140234;Проспект Космонавтов;Екатеринбург;subway
node;297004189;56.8882608;60.6135553;Уралмаш;Екатеринбург;subway
node;297148038;55.7745814;37.6544083;Комсомольская;Москва;subway
node;297291268;55.8472112;37.5898788;Владыкино;Москва;subway
node;297335182;55.7103769;37.5591730;Воробьёвы горы;Москва;subway
node;297366493;55.7797618;37.6036450;Новослободская;Москва;subway
node;297773322;55.7333223;37.6675064;Крестьянская Застава;Москва;subway
node;298969888;59.8296785;30.3754571;Купчино;Петербург;subway
node;300120212;55.6137591;37.7444879;Красногвардейская;Москва;subway
node;305486163;55.6108588;37.7186583;Домодедовская;Москва;subway
node;308993125;55.6133951;37.6945563;Орехово;Москва;subway
node;308993196;55.6214833;37.6692504;Царицыно;Москва;subway
node;308993566;55.6357353;37.6565408;Кантемировская;Москва;subway
node;309741697;55.5693137;37.5768106;Бульвар Дмитрия Донского;Москва;subway
node;309741829;55.5688666;37.5769159;Улица Старокачаловская;Москва;subway
node;309744779;55.7607539;37.5774474;Краснопресненская;Москва;subway
node;309745114;55.7446848;37.5657843;Киевская;Москва;subway
node;309748905;55.7933221;37.4937673;Октябрьское Поле;Москва;subway
node;309750154;55.8504837;37.4396698;Сходненская;Москва;subway
node;309752486;55.6636675;37.4831178;Юго-Западная;Москва;subway
node;309752494;55.6927208;37.5331136;Университет;Москва;subway
node;312393508;59.9076378;30.3024081;Балтийская;Петербург;subway
node;312816773;55.7381116;37.6170438;Полянка;Москва;subway
node;313475956;59.8997076;30.2740578;Нарвская;Петербург;subway
node;313476034;59.8782349;30.2605758;Кировский завод;Петербург;subway
node;314679443;55.6529714;37.5983627;Каховская;Москва;subway
node;315025552;59.8673094;30.3216532;Парк Победы;Петербург;subway
node;315051539;59.8332278;30.3496483;Звёздная;Петербург;subway
node;333159878;55.6597979;37.7506031;Братиславская;Москва;subway
node;335996181;54.9830352;82.8931380;Площадь Маркса;Новосибирск;subway
node;335999524;55.0594892;82.9124990;Заельцовская;Новосибирск;subway
node;343252898;53.8867326;27.5148712;Грушаўка;Минск;subway
node;343259523;53.8768881;27.4970954;Міхалова;Минск;subway
node;343262691;53.8647191;27.4861570;Пятроўшчына;Минск;subway
node;344890527;59.8506391;30.2683897;Ленинский проспект;Петербург;subway
node;344890631;59.8419484;30.2520174;Проспект Ветеранов;Петербург;subway
node;349930322;55.6772474;37.5060071;Проспект Вернадского;Москва;subway
node;351119702;53.2112433;50.2694783;Кировская;Самара;subway
node;351119704;53.2124740;50.2825835;Юнгородок;Самара;subway
node;351119750;53.2124750;50.2476557;Безымянка;Самара;subway
node;358503996;41.7227258;44.7176568;1111111111 111111111111;Тбилиси;subway
node;359711515;59.8944447;30.3592894;Волковская;Петербург;subway
node;359711518;59.9139392;30.3500211;Обводный канал;Петербург;subway
node;362156015;55.7653483;37.6073527;Пушкинская;Москва;subway
node;416056907;54.9889570;82.9061801;Студенческая;Новосибирск;subway
node;416063356;55.0423037;82.9185249;Сибирская;Новосибирск;subway
node;416063358;55.0513927;82.9146721;Гагаринская;Новосибирск;subway
node;416063360;55.0437060;82.9350405;Маршала Покрышкина;Новосибирск;subway
node;437955651;41.7916190;44.8156230;111111111 11111;Тбилиси;subway
node;437955710;41.7835878;44.7994167;1111111111;Тбилиси;subway
node;437955726;41.7750101;44.7952105;1111111111;Тбилиси;subway
node;441886276;55.7496630;49.2087778;Проспект Победы;Казань;subway
node;441886277;55.7596930;49.1916069;Горки;Казань;subway
node;441886279;55.7765517;49.1435332;Суконная слобода;Казань;subway
node;441886280;55.7855307;49.1249837;площадь Тукая;Казань;subway
node;441886281;55.7951510;49.1071056;Кремлёвская;Казань;subway
node;442008171;53.2069832;50.2357699;Победа;Самара;subway
node;442008172;53.2015543;50.2204405;Советская;Самара;subway
node;442008173;53.2009557;50.1995781;Спортивная;Самара;subway
node;442008174;53.2002741;50.1765124;Гагаринская;Самара;subway
node;442008175;53.2028088;50.1604963;Московская;Самара;subway
node;442008176;53.2119179;50.1489865;Российская;Самара;subway
node;442018444;56.3332764;43.8948583;Буревестник;Нижний_новгород;subway
node;442018445;56.3261878;43.9113027;Бурнаковская;Нижний_новгород;subway
node;442018446;56.3205583;43.9267525;Канавинская;Нижний_новгород;subway
node;442018457;56.3105914;43.9371885;Чкаловская;Нижний_новгород;subway
node;442018464;56.2990741;43.9381541;Ленинская;Нижний_новгород;subway
node;442018465;56.2851552;43.9277795;Заречная;Нижний_новгород;subway
